 num_wann=          22 num_Kpathpoints=         219
  0.14233010E+00 -0.65011469E+01  0.58703163E-03  0.82023270E-12  0.60147920E-04  0.64372735E-02  0.12773524E-09  0.75099384E-03  0.40302531E-10  0.62857278E-02  0.36959240E-02  0.23872845E-09  0.17685497E-01  0.24863382E-01  0.52085111E-09  0.37776141E+00  0.21472879E-01  0.52007538E-09  0.33077210E+00  0.10984675E-01  0.55515755E-10  0.35831508E-04  0.19860710E+00  0.31223932E-07
  0.15656311E+00 -0.64844062E+01  0.63184907E-03  0.14463748E-11  0.72853410E-04  0.65296209E-02  0.22748028E-09  0.79321260E-03  0.76598713E-10  0.62173494E-02  0.39255313E-02  0.41329615E-09  0.17555154E-01  0.25959320E-01  0.86195323E-09  0.37395767E+00  0.22257158E-01  0.84229307E-09  0.32779008E+00  0.11721975E-01  0.89247789E-10  0.38333087E-04  0.20254983E+00  0.52472157E-07
  0.17079612E+00 -0.64661274E+01  0.68303605E-03  0.27802692E-11  0.87097403E-04  0.66403315E-02  0.34099699E-09  0.84272954E-03  0.12046339E-09  0.61530073E-02  0.41902240E-02  0.59345012E-09  0.17430338E-01  0.27192996E-01  0.12020132E-08  0.36982956E+00  0.23137514E-01  0.11499252E-08  0.32452032E+00  0.12523652E-01  0.11931223E-09  0.41065882E-04  0.20672805E+00  0.73148715E-07
  0.18502913E+00 -0.64463194E+01  0.74165224E-03  0.54112192E-11  0.10298130E-03  0.67735153E-02  0.45348283E-09  0.90083682E-03  0.16531776E-09  0.60960724E-02  0.44948281E-02  0.74664990E-09  0.17317756E-01  0.28578407E-01  0.14864551E-08  0.36537573E+00  0.24122994E-01  0.13931585E-08  0.32095269E+00  0.13391581E-01  0.13989193E-09  0.44075792E-04  0.21110679E+00  0.89374728E-07
  0.19926214E+00 -0.64249936E+01  0.80910107E-03  0.96028623E-11  0.12063262E-03  0.69341756E-02  0.54775372E-09  0.96917299E-03  0.20286051E-09  0.60502235E-02  0.48453361E-02  0.84370790E-09  0.17225001E-01  0.30133114E-01  0.16692260E-08  0.36059033E+00  0.25224953E-01  0.15346011E-08  0.31707276E+00  0.14329433E-01  0.14745305E-09  0.47427850E-04  0.21564823E+00  0.98127679E-07
  0.21349515E+00 -0.64021659E+01  0.88722310E-03  0.14930474E-10  0.14021398E-03  0.71283116E-02  0.60633749E-09  0.10498244E-02  0.22483783E-09  0.60194043E-02  0.52492255E-02  0.86479739E-09  0.17160482E-01  0.31878967E-01  0.17188349E-08  0.35546215E+00  0.26457502E-01  0.15528117E-08  0.31286116E+00  0.15343130E-01  0.14121997E-09  0.51208234E-04  0.22031110E+00  0.97804580E-07
  0.22772816E+00 -0.63778594E+01  0.97841572E-03  0.20169073E-10  0.16193330E-03  0.73630376E-02  0.61452053E-09  0.11454589E-02  0.22516398E-09  0.60077871E-02  0.57158636E-02  0.80402642E-09  0.17133346E-01  0.33842964E-01  0.16229216E-08  0.34997374E+00  0.27838025E-01  0.14438556E-08  0.30829287E+00  0.16441340E-01  0.12304199E-09  0.55526514E-04  0.22504960E+00  0.88515145E-07
  0.24196117E+00 -0.63521077E+01  0.10857882E-02  0.23558325E-10  0.18605513E-03  0.76467261E-02  0.56417207E-09  0.12595019E-02  0.20187252E-09  0.60197495E-02  0.62570227E-02  0.67145109E-09  0.17153421E-01  0.36058250E-01  0.13913364E-08  0.34410055E+00  0.29387775E-01  0.12217668E-08  0.30333644E+00  0.17636024E-01  0.96752896E-10  0.60518413E-04  0.22981211E+00  0.72047993E-07
  0.25619418E+00 -0.63249583E+01  0.12133638E-02  0.23435743E-10  0.21291254E-03  0.79891792E-02  0.45775440E-09  0.13963706E-02  0.15833630E-09  0.60598633E-02  0.68875328E-02  0.49184307E-09  0.17231151E-01  0.38565305E-01  0.10573872E-08  0.33780991E+00  0.31132553E-01  0.91831899E-09  0.29795318E+00  0.18943028E-01  0.67227025E-10  0.66349348E-04  0.23453924E+00  0.51514266E-07
  0.27042719E+00 -0.62964767E+01  0.13663443E-02  0.19073854E-10  0.24291921E-03  0.84018282E-02  0.31151028E-09  0.15617816E-02  0.10330201E-09  0.61328941E-02  0.76261058E-02  0.30018449E-09  0.17377553E-01  0.41413322E-01  0.67648875E-09  0.33105998E+00  0.33103484E-01  0.58171341E-09  0.29209632E+00  0.20382723E-01  0.39376313E-10  0.73218987E-04  0.23916149E+00  0.30734674E-07
